address,value
Amortization!A1,Month
Amortization!A10,9.0
Amortization!A11,10.0
Amortization!A12,11.0
Amortization!A13,12.0
Amortization!A2,1.0
Amortization!A3,2.0
Amortization!A4,3.0
Amortization!A5,4.0
Amortization!A6,5.0
Amortization!A7,6.0
Amortization!A8,7.0
Amortization!A9,8.0
Amortization!B1,Begin Balance
Amortization!B10,6800.1011401414
Amortization!B11,5112.7730517005
Amortization!B12,3417.0083228173
Amortization!B13,1712.7647702898
Amortization!B2,20000.0
Amortization!B3,18378.6714058584
Amortization!B4,16749.236168746
Amortization!B5,15111.6537554481
Amortization!B6,13465.8834300837
Amortization!B7,11811.8842530924
Amortization!B8,10149.6150802163
Amortization!B9,8479.0345614757
Amortization!C1,Payment
Amortization!C10,1721.3285941416
Amortization!C11,1721.3285941416
Amortization!C12,1721.3285941416
Amortization!C13,1721.3285941416
Amortization!C2,1721.3285941416
Amortization!C3,1721.3285941416
Amortization!C4,1721.3285941416
Amortization!C5,1721.3285941416
Amortization!C6,1721.3285941416
Amortization!C7,1721.3285941416
Amortization!C8,1721.3285941416
Amortization!C9,1721.3285941416
Amortization!D1,Interest
Amortization!D10,34.0005057007
Amortization!D11,25.5638652585
Amortization!D12,17.0850416141
Amortization!D13,8.5638238514
Amortization!D2,100.0
Amortization!D3,91.8933570293
Amortization!D4,83.7461808437
Amortization!D5,75.5582687772
Amortization!D6,67.3294171504
Amortization!D7,59.0594212655
Amortization!D8,50.7480754011
Amortization!D9,42.3951728074
Amortization!E1,Principal Paid
Amortization!E10,1687.3280884409
Amortization!E11,1695.7647288831
Amortization!E12,1704.2435525276
Amortization!E13,1712.7647702902
Amortization!E2,1621.3285941416
Amortization!E3,1629.4352371124
Amortization!E4,1637.5824132979
Amortization!E5,1645.7703253644
Amortization!E6,1653.9991769912
Amortization!E7,1662.2691728762
Amortization!E8,1670.5805187406
Amortization!E9,1678.9334213343
Amortization!F1,End Balance
Amortization!F10,5112.7730517005
Amortization!F11,3417.0083228173
Amortization!F12,1712.7647702898
Amortization!F13,-4e-10
Amortization!F2,18378.6714058584
Amortization!F3,16749.236168746
Amortization!F4,15111.6537554481
Amortization!F5,13465.8834300837
Amortization!F6,11811.8842530924
Amortization!F7,10149.6150802163
Amortization!F8,8479.0345614757
Amortization!F9,6800.1011401414
Inputs!A1,Parameter
Inputs!A2,Principal
Inputs!A3,Annual Rate
Inputs!A4,Term (months)
Inputs!A5,Monthly Rate
Inputs!A6,Payment
Inputs!B1,Value
Inputs!B2,20000.0
Inputs!B3,0.06
Inputs!B4,12.0
Inputs!B5,0.005
Inputs!B6,1721.3285941416
Summary!A1,Metric
Summary!A2,Total Interest
Summary!A3,Total Paid
Summary!A4,Payoff Month
Summary!A5,Final Balance
Summary!B1,Value
Summary!B2,655.9431296993
Summary!B3,20655.9431296998
Summary!B4,12.0
Summary!B5,-4e-10
