cell,value
Orders!A1,order_id
Orders!B1,product_id
Orders!C1,qty
Orders!D1,unit_price_xlookup
Orders!E1,unit_price_index_match
Orders!F1,line_total
Orders!G1,unit_price_safe
Orders!H1,line_total_safe
Orders!A2,O1001
Orders!B2,P001
Orders!C2,4
Orders!D2,2.50
Orders!E2,2.50
Orders!F2,10.00
Orders!G2,2.50
Orders!H2,10.00
Orders!A3,O1002
Orders!B3,P003
Orders!C3,10
Orders!D3,1.25
Orders!E3,1.25
Orders!F3,12.50
Orders!G3,1.25
Orders!H3,12.50
Orders!A4,O1003
Orders!B4,P002
Orders!C4,2
Orders!D4,5.00
Orders!E4,5.00
Orders!F4,10.00
Orders!G4,5.00
Orders!H4,10.00
Orders!A5,O1004
Orders!B5,P006
Orders!C5,25
Orders!D5,0.40
Orders!E5,0.40
Orders!F5,10.00
Orders!G5,0.40
Orders!H5,10.00
Orders!A6,O1005
Orders!B6,P004
Orders!C6,6
Orders!D6,3.75
Orders!E6,3.75
Orders!F6,22.50
Orders!G6,3.75
Orders!H6,22.50
Orders!A7,O1006
Orders!B7,P099
Orders!C7,3
Orders!D7,#N/A
Orders!E7,#N/A
Orders!F7,#N/A
Orders!G7,0.00
Orders!H7,0.00
Orders!A8,O1007
Orders!B8,P005
Orders!C8,1
Orders!D8,8.20
Orders!E8,8.20
Orders!F8,8.20
Orders!G8,8.20
Orders!H8,8.20
Orders!A9,O1008
Orders!B9,P002
Orders!C9,7
Orders!D9,5.00
Orders!E9,5.00
Orders!F9,35.00
Orders!G9,5.00
Orders!H9,35.00
Orders!A10,O1009
Orders!B10,P001
Orders!C10,12
Orders!D10,2.50
Orders!E10,2.50
Orders!F10,30.00
Orders!G10,2.50
Orders!H10,30.00
Orders!A11,O1010
Orders!B11,P003
Orders!C11,8
Orders!D11,1.25
Orders!E11,1.25
Orders!F11,10.00
Orders!G11,1.25
Orders!H11,10.00
Orders!F12,#N/A
Orders!H12,148.20
Products!A1,product_id
Products!B1,product_name
Products!C1,unit_price
Products!A2,P001
Products!B2,Widget
Products!C2,2.50
Products!A3,P002
Products!B3,Gadget
Products!C3,5.00
Products!A4,P003
Products!B4,Sprocket
Products!C4,1.25
Products!A5,P004
Products!B5,Cog
Products!C5,3.75
Products!A6,P005
Products!B6,Flange
Products!C6,8.20
Products!A7,P006
Products!B7,Bolt
Products!C7,0.40
