cell,value
A1,Customer
B1,Annual Spend
C1,Tier
A2,Acme Corp
B2,250000
C2,Gold
A3,Globex
B3,100001
C3,Gold
A4,Cyberdyne
B4,100000.5
C4,Gold
A5,Initech
B5,100000
C5,Silver
A6,Umbrella
B6,75000
C6,Silver
A7,Soylent
B7,50001
C7,Silver
A8,Massive Dynamic
B8,50000.5
C8,Silver
A9,Stark Industries
B9,50000
C9,Bronze
A10,Wayne Enterprises
B10,42000
C10,Bronze
A11,Wonka
B11,0
C11,Bronze
A12,Hooli
B12,-5000
C12,Bronze
A13,Vandelay
B13,#VALUE!
C13,Bronze
E1,Tier
F1,Count
E2,Gold
F2,3
E3,Silver
F3,4
E4,Bronze
F4,5
E5,Total
F5,12
